,oldest_post_date,total_comments,total_posts
latimes,2010-07-30 18:27:00,116953,8200
wsj,2008-03-13 16:10:26,90536,4679
theoregonian,2009-03-14 06:52:43,18415,4249
kansascitystar,2009-05-20 03:55:29,16122,4227
birminghamnews,2008-04-30 00:03:01,7235,15138
TampaTribune,2009-09-18 18:30:56,232,561
nytimes,2010-07-30 18:27:00,0,0
mercurynews,2010-07-30 18:27:00,0,0
ladailynews,2010-07-30 18:27:00,0,0
globe,2010-07-30 18:27:00,0,0
denverpost,2010-07-01 21:03:59,0,6550
chicagotribune,2010-07-30 18:27:00,0,0
washingtonpost,2010-07-30 18:27:00,0,0
thenewyorkdailynews,2010-07-30 18:27:00,0,0
startribune,2010-07-30 18:27:00,0,0
saltlaketribune,2010-07-30 18:27:00,0,0
pioneerpress,2010-07-30 18:27:00,0,0
orlandosentinel,2010-07-30 18:27:00,0,0
STLPD,2010-07-30 18:27:00,0,0
ArizonaDailyStar,2010-07-30 18:27:00,0,0
