,oldest_post_date,total_comments,total_posts
latimes,2012-09-24 22:18:36,124755,9970
wsj,2011-11-10 22:14:25,90536,4679
mercurynews,2011-04-01 15:38:29,48573,8071
STLPD,2011-10-08 04:50:46,35305,4352
theoregonian,2012-10-08 21:16:13,18415,4249
kansascitystar,2009-05-20 14:46:16,16122,4227
globe,2012-07-19 20:14:00,15191,3761
startribune,2012-03-23 19:33:27,12812,3100
pioneerpress,2012-08-01 16:54:30,12799,3850
birminghamnews,2011-11-07 14:32:07,7235,15138
ArizonaDailyStar,2012-05-15 04:35:12,5959,4961
thenewyorkdailynews,2012-09-12 18:57:19,5049,550
ladailynews,2011-02-11 03:15:18,1247,6256
TampaTribune,2012-06-18 18:13:43,232,561
chicagotribune,2012-09-12 18:57:19,0,0
orlandosentinel,2012-09-12 18:57:19,0,0
nytimes,2012-09-12 18:57:19,0,0
denverpost,2011-11-29 02:13:39,0,6550
saltlaketribune,2012-09-12 18:57:19,0,0
washingtonpost,2012-09-12 18:57:19,0,0
