Number,Newspaper,fb_name,leanings,state,,,key states according to CNN,http://www.cnn.com/election/2012/ecalculator#?battleground
15,The Denver Post,denverpost,key,colorado,,,nevada,
93,The Times of Northwest Indiana,The-Times-of-Northwest-Indiana/91501294412,romney,indiana,,,colorado,
43,The Tampa Tribune,TampaTribune,key,florida,,,iowa,
28,The Kansas City Star,kansascitystar,romney,kansas,,,wisconsin,
1,The Wall Street Journal,wsj,na,national,,,ohio,
72,The Birmingham News,birminghamnews,romney,alabama,,,virginia,
4,Los Angeles Times,latimes,obama,california,,,florida,
32,St. Paul Pioneer Press,pioneerpress,obama,minnesota,,,new hampshire,
76,Arizona Daily Star,ArizonaDailyStar,romney,arizona,,,,
29,St. Louis Post-Dispatch,STLPD,romney,missouri,,,,
25,The Boston Globe,globe,obama,massachusetts,,,,
85,Los Angeles Daily News,ladailynews,obama,california,,,,
5,San Jose Mercury News,mercurynews,obama,california,,,,
17,Star Tribune,startribune,obama,minnesota,,,,
7,Daily News,thenewyorkdailynews,obama,new york,,,,
34,Orlando Sentinel,orlandosentinel,key,florida,,,,
9,Chicago Tribune,chicagotribune,obama,illinois,,,,
3,The New York Times,nytimes,obama,new york,,,,
71,The Salt Lake Tribune,saltlaketribune,romney,utah,,,,
6,The Washington Post,washingtonpost,key,DC / Maryland Virginia,,,,
44,The Cincinnati Enquirer,cincinnatienquirer,key,ohio,,,,
87,Tulsa World,tulsaworld,romney,oklahoma,,,,
68,The Palm Beach Post,palmbeachpost,key,florida,,,,
70,Fesno Bee,fresnobee,obama,california,,,,
66,The Blade,thetoledoblade,key,ohio,,,,
